title,genres,keywords
Inception,Action Science Fiction Adventure,rescue mission dream airplane paris france virtual reality kidnapping philosophy spy allegory manipulation car crash heist memory architecture los angeles california dream world subconscious
Interstellar,Adventure Drama Science Fiction,rescue future spacecraft race against time artificial intelligence (a.i.) nasa time warp dystopia expedition space travel wormhole famine black hole quantum mechanics family relationships space robot astronaut scientist single father farmer space station curious space adventure time paradox thoughtful time-manipulation father daughter relationship 2060s cornfield time manipulation complicated
The Dark Knight,Drama Action Crime Thriller,joker sadism chaos secret identity crime fighter superhero anti hero scarecrow based on comic vigilante organized crime tragic hero anti villain criminal mastermind district attorney super power super villain neo-noir
Avatar,Action Adventure Fantasy Science Fiction,future society culture clash space travel space war space colony tribe romance alien futuristic space alien planet marine soldier battle love affair nature anti war power relations joyful
The Avengers,Science Fiction Action Adventure,new york city superhero shield based on comic alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
Deadpool,Action Adventure Comedy,superhero anti hero mercenary based on comic aftercreditsstinger duringcreditsstinger
Avengers: Infinity War,Adventure Action Science Fiction,sacrifice magic superhero based on comic space battlefield genocide magical object super power aftercreditsstinger marvel cinematic universe (mcu) cosmic
Fight Club,Drama,dual identity rage and hate based on novel or book nihilism fight support group dystopia insomnia alter ego breaking the fourth wall split personality quitting a job dissociative identity disorder self destructiveness
Guardians of the Galaxy,Action Science Fiction Adventure,spacecraft based on comic space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
Pulp Fiction,Thriller Crime,drug dealer boxer massage stolen money briefcase crime boss redemption heirloom dance competition los angeles california theft nonlinear timeline multiple storylines neo-noir hilarious
Forrest Gump,Comedy Drama Romance,vietnam war vietnam veteran mentally disabled friendship usa president washington dc usa post-traumatic stress disorder (ptsd) waitress china based on novel or book hippie single parent parent child relationship optimism 1970s drug addiction autism alabama black panther party bus stop family relationships single mother military anti war protest 1960s college american football mother son relationship loving feel-good
Harry Potter and the Philosopher's Stone,Adventure Fantasy,witch school friend friendship london england based on novel or book magic boarding school child hero school of witchcraft chosen one school shopping fantasy world wizard christmas based on young adult novel owl wizarding world
Iron Man,Action Science Fiction Adventure,middle east superhero arms dealer malibu based on comic aftercreditsstinger marvel cinematic universe (mcu) counterterrorism
Django Unchained,Drama Western,rescue friendship bounty hunter texas slavery plantation rivalry revenge shootout racism kindness dentist django slave trade aftercreditsstinger black slave agreement 19th century chattanooga german cotton plantation plantation owner old west western 1850s mississippi
The Shawshank Redemption,Drama Crime,prison friendship police brutality corruption based on novel or book hope prison cell delinquent redemption parole board prison escape wrongful imprisonment interracial friendship framed for murder 1940s voiceover
Avengers: Endgame,Adventure Science Fiction Action,superhero time travel space travel time machine based on comic sequel alien invasion superhero team marvel cinematic universe (mcu) alternate timeline father daughter relationship sister sister relationship
The Matrix,Action Science Fiction,man vs machine martial arts dream artificial intelligence (a.i.) saving the world hacker self sacrifice virtual reality fight prophecy truth philosophy dystopia insurgence simulated reality  cyberpunk dream world woman director messiah action hero gnosticism complex
Titanic,Drama Romance,epic ship drowning panic shipwreck evacuation iceberg titanic forbidden love ocean liner based on true story rich woman poor man love tragedy tragic love disaster historical fiction class differences love affair historical event lifeboat star crossed lovers sinking ship steerage rich snob disaster movie 1910s sunken ship absurd sinister romantic tragic
Joker,Crime Thriller Drama,dream street gang society psychopath clown villain based on comic murder psychological thriller criminal mastermind mental illness anarchy character study clown makeup subway train social realism supervillain tv host 1980s mother son relationship origin story falling into madness depressing
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,based on novel or book orcs elves dwarf magic loss of loved one river fireworks mine maze mountain new zealand castle volcano birthday party addiction uncle fugitive battle death blizzard wizard journey ring live action and animation sword and sorcery nz
The Lord of the Rings: The Return of the King,Adventure Fantasy Action,based on novel or book orcs elves dwarf bravery suspicion volcano addiction honor royalty troll brutality ghost wizard quest live action and animation sword and sorcery
Shutter Island,Drama Thriller Mystery,island based on novel or book hurricane investigation u.s. marshal conspiracy theory psychiatric hospital psychological thriller whodunit neo-noir 1950s
The Wolf of Wall Street,Crime Drama Comedy,corruption drug addiction anti hero con man fraud wall street based on true story rise and fall con artist money stockbroker wealthy drugs stripping hedonism decadence corrupt 1980s sharemarket fraud financial market black monday joyful
Avengers: Age of Ultron,Action Adventure Science Fiction,artificial intelligence (a.i.) superhero based on comic sequel superhero team duringcreditsstinger marvel cinematic universe (mcu) fictitious country evil robot
Captain America: Civil War,Adventure Action Science Fiction,civil war superhero based on comic sequel aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) excited
The Dark Knight Rises,Action Crime Drama Thriller,fight burglar hostage secret identity crime fighter superhero villainess time bomb based on comic cover-up vigilante tragic hero mobile terrorism destruction fighting criminal underworld cat burglar flood
Iron Man 3,Action Adventure Science Fiction,california war on terror superhero malibu based on comic tennessee billionaire aftercreditsstinger marvel cinematic universe (mcu) christmas america
Black Panther,Action Adventure Science Fiction,africa superhero based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
Doctor Strange,Action Adventure Fantasy,magic superhero training time based on comic sorcerer doctor neurosurgeon wizard aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
Mad Max: Fury Road,Action Adventure Science Fiction,rescue future australia chase dystopia post-apocalyptic future survival on the run on the road convoy peak oil dark future
Inglourious Basterds,Drama Thriller War,guerrilla warfare swastika paris france nazi self sacrifice sadism dynamite mexican standoff world war ii jew persecution masochism anti-semitism german occupation of france british politics revisionist history adolf hitler
The Hunger Games,Science Fiction Adventure Fantasy,based on novel or book revolution dystopia female protagonist bow and arrow game archery death match forced to kill based on young adult novel
Spider-Man: Homecoming,Action Adventure Science Fiction Drama,high school new york city washington dc usa superhero based on comic reboot aftercreditsstinger marvel cinematic universe (mcu)
Harry Potter and the Chamber of Secrets,Adventure Fantasy,witch flying car elves magic sword diary child hero school of witchcraft giant spider black magic giant snake child driving car wizard aftercreditsstinger christmas based on young adult novel wizarding world
Guardians of the Galaxy Vol. 2,Science Fiction Adventure Action,superhero based on comic sequel misfit space aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
The Lord of the Rings: The Two Towers,Adventure Fantasy Action,mission army based on novel or book funeral orcs elves dwarf explosive fort cave siege addiction attack dragon guide death split personality wizard ring live action and animation sword and sorcery
Captain America: The First Avenger,Action Adventure Science Fiction,new york city nazi superhero world war ii heroism shield based on comic super soldier period drama brooklyn new york city aftercreditsstinger marvel cinematic universe (mcu) origin story soldiers war
Suicide Squad,Action Adventure Fantasy,secret mission superhero anti hero villain supervillain dc extended universe (dceu)
Harry Potter and the Prisoner of Azkaban,Adventure Fantasy,witch school friend friendship flying magic bus traitor child hero school of witchcraft black magic time travel school best friend werewolf muggle wizard aftercreditsstinger magical creature night bus teenage life christmas school class based on young adult novel magic spell wizarding world
Thor,Adventure Fantasy Action,new mexico superhero redemption banishment based on comic brother against brother norse mythology aftercreditsstinger marvel cinematic universe (mcu) worlds collide god of thunder fantasy
Iron Man 2,Adventure Action Science Fiction,technology superhero malibu based on comic revenge aftercreditsstinger marvel cinematic universe (mcu) break out
Batman Begins,Action Crime Drama,martial arts undercover loss of loved one secret identity crime fighter superhero based on comic rivalry ninja vigilante tragic hero super power haunted by the past evil doctor master villain unfulfilled love
Thor: Ragnarok,Action Adventure Science Fiction,superhero based on comic sequel alien planet female villain norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) norse god loki
Inside Out,Animation Family Adventure Drama Comedy,dream san francisco california minnesota sadness cartoon ice hockey imaginary friend elementary school family relationships memory family unicorn running away duringcreditsstinger emotions
Jurassic World,Action Adventure Science Fiction Thriller,island primal fear escape velociraptor dna tyrannosaurus rex animal attack sequel dinosaur creature park amusement park theme park genetic engineering raptor animal horror mosasaurus
Se7en,Crime Mystery Thriller,drug dealer rage and hate police s.w.a.t. sadism self-fulfilling prophecy psychopath detective rain investigation pension evisceration pride and vanity immoderateness insomnia murder serial killer religion seven deadly sins depravity neo-noir
Harry Potter and the Goblet of Fire,Adventure Fantasy,witch dying and death based on novel or book magic boarding school world cup maze mermaid school of witchcraft black magic chosen one vision school tournament dragon wizard teenage hero christmas based on young adult novel wizarding world
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,blacksmith east india company gold exotic island governor skeleton jamaica british empire pirate swashbuckler 18th century caribbean sea aftercreditsstinger pirate ship british navy tortuga based on theme park ride
Harry Potter and the Deathly Hallows: Part 2,Fantasy Adventure,witch dying and death saving the world self sacrifice magic school of witchcraft sorcerer school battle wizard teenage hero christmas based on young adult novel good versus evil wizarding world
Star Wars,Adventure Action Science Fiction,empire galaxy rebellion android hermit smuggling (contraband) freedom rebel rescue mission space planet desert super power oppression space opera wizard totalitarianism
Wonder Woman,Action Adventure Fantasy,island hero strong woman world war i empowerment superhero feminism greek mythology based on comic female protagonist period drama super power heroine woman director female empowerment 1910s dc extended universe (dceu)
Up,Animation Comedy Family Adventure,central and south america age difference balloon travel dog duringcreditsstinger pets exploring senior
Ant-Man,Science Fiction Action Adventure,superhero ant shrinking based on comic heist miniaturization miniature people aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu)
The Godfather,Drama Crime,based on novel or book loss of loved one love at first sight italy symbolism patriarch europe organized crime mafia religion lawyer revenge motive crime family sicilian mafia religious hypocrisy gun violence rise to power dead horse gang violence 1940s 1950s mafia war
The Martian,Drama Adventure Science Fiction,spacecraft planet mars based on novel or book nasa isolation botanist alone survival space engineering stranded astronaut struggle for survival duringcreditsstinger deep space potatoes 2030s
Back to the Future,Adventure Comedy Science Fiction,flying car race against time clock tower car race lightning guitar plutonium inventor journey in the past invention time travel bullying mad scientist fish out of water terrorism teenage love destiny hidden identity love and romance teenage life changing the past or future 1950s tiempo amused
Star Wars: The Force Awakens,Adventure Action Science Fiction,android spacecraft space opera
Spider-Man: No Way Home,Action Adventure Science Fiction,new york city hero showdown magic loss of loved one secret identity superhero villain portal sequel vigilante superhero team alternate reality masked vigilante spider web aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) fight for justice teen superhero superhero teamup returning hero crossover teamwork
Harry Potter and the Order of the Phoenix,Adventure Fantasy,witch dying and death court magic prophecy loss of loved one professor supernatural child hero school of witchcraft black magic sorcery occult wizard christmas scholar mystical land ministry based on young adult novel wizarding world
Harry Potter and the Half-Blood Prince,Adventure Fantasy,witch dying and death london england magic school of witchcraft apparition curse teenage crush school werewolf teenage love luck wizard secret past christmas based on young adult novel wizarding world
